LOCATION,ONE_LINER,INDUSTRY,BATCH,SUBINDUSTRY,`AI?`
"Boston, MA, USA",Agents for Accelerated Clinical Trial Design,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"Stanford, CA, USA",AI tutor starting with maths and science,Education,Winter 2025,['Education'],AI Related
"El Segundo, CA, USA",Autonomous patrol-boats for National Security,Industrials,Winter 2025,"['Industrials', 'Drones']",Not AI Related
"Copenhagen, Denmark",AI-driven exam prep,Education,Winter 2025,['Education'],AI Related
Remote,We are rebuilding photoshop with an AI-voice interface.,B2B,Winter 2025,['B2B'],AI Related
"Toronto, ON, Canada",Canadian neobank focused on lending,Fintech,Winter 2025,"['Fintech', 'Consumer Finance']",Not AI Related
"San Mateo, CA, USA",Voice AI teams for medicare agencies.,B2B,Winter 2025,['B2B'],AI Related
"Berlin, Berlin, Germany",Financial OS for Modern Fleets,Fintech,Winter 2025,['Fintech'],Not AI Related
"Bogota, Bogota, Colombia",AI Accountant for Retail,B2B,Winter 2025,"['B2B', 'Operations']",AI Related
"Austin, TX, USA",AI-powered Patient Identification for Clinical Trials,Healthcare,Winter 2025,"['Healthcare', 'Healthcare IT']",AI Related
"Amsterdam, NH, Netherlands",Sync engine to share data across engineering teams in enterprises,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
Remote,"The Javascript framework for building AI agents, from the Gatsby devs",B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"Toronto, ON, Canada",Software Enabled CNC Parts Supplier,Industrials,Winter 2025,"['Industrials', 'Manufacturing and Robotics']",Not AI Related
Remote,Real-time AI Voice Translation,B2B,Winter 2025,"['B2B', 'Productivity']",AI Related
"Atlanta, GA, USA",Reusable Satellites for zero-g manufacturing,Industrials,Winter 2025,"['Industrials', 'Aviation and Space']",Not AI Related
"Menlo Park, CA, USA",AI-powered intake nurse,Healthcare,Winter 2025,"['Healthcare', 'Healthcare IT']",AI Related
"Stockholm, Stockholm County, Sweden",AI Software for Commercial Insurance Brokers,Fintech,Winter 2025,"['Fintech', 'Insurance']",AI Related
"London, England, United Kingdom",24/7 Global Stock Exchange,Fintech,Spring 2025,"['Fintech', 'Banking and Exchange']",Not AI Related
"London, England, United Kingdom",AI-powered code review platform,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"London, England, United Kingdom","The best database for building AI applications, agents & RAG ",B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",AI Related
Remote,Scaling engine for PostgreSQL,B2B,Spring 2025,"['B2B', 'Infrastructure']",Not AI Related
"Cocoa, FL, USA",AI Driven EPC - Weld Fabrication Contractor,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"New York, NY, USA",AI-powered student information system for K-12 schools,Education,Winter 2025,['Education'],AI Related
"New York, NY, USA",We help law enforcement solve crime,Government,Winter 2025,['Government'],Not AI Related
"New York, NY, USA",Risk Decisioning Platform for Banks,B2B,Winter 2025,['B2B'],Not AI Related
"New York, NY, USA",Digital AI humans that model clothes for e-commerce brands.,B2B,Winter 2025,['B2B'],AI Related
"New York, NY, USA",Simplifying Collaboration for Healthcare Organizations & Professionals,B2B,Winter 2025,['B2B'],Not AI Related
"New York, NY, USA",AI-powered research desk for hedge funds,B2B,Winter 2025,"['B2B', 'Finance and Accounting']",AI Related
"New York, NY, USA",Stablecoin neobank for emerging markets,Fintech,Winter 2025,['Fintech'],Not AI Related
"New York, NY, USA",AI for Healthcare Compliance,B2B,Winter 2025,"['B2B', 'Legal']",AI Related
"New York, NY, USA",Automating CRE accounting with AI,Real Estate and Construction,Winter 2025,['Real Estate and Construction'],AI Related
"New York, NY, USA",Shopify for AI-generated courses,Education,Winter 2025,['Education'],AI Related
"New York, NY, USA",Misprint is building Robinhood for Pokemon cards,Consumer,Winter 2025,['Consumer'],Not AI Related
